Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2006,7,6,4,2055,2055,2150,2148,XE,2619,N11526,55,53,25,2,0,IAH,LCH,127,8,22,0,,0,0,0,0,0,0
1997,3,2,7,2019,2015,2314,2245,CO,143,N59302,295,270,248,29,4,EWR,COS,1623,6,41,0,NA,0,NA,NA,NA,NA,NA
1994,5,2,1,700,700,804,756,AA,1629,NA,124,116,NA,8,0,BWI,ORD,622,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1997,2,14,5,700,700,728,730,WN,1783,N332,88,90,70,-2,0,TUS,LAX,451,8,10,0,NA,0,NA,NA,NA,NA,NA
2000,6,11,7,2052,2034,2132,2121,CO,1753,N16893,160,167,133,11,18,IAH,PHX,1009,5,22,0,NA,0,NA,NA,NA,NA,NA
1997,11,16,7,1503,1414,1912,1859,AA,414,N205AA,189,225,177,13,49,DFW,BOS,1562,4,8,0,NA,0,NA,NA,NA,NA,NA
1999,5,31,1,839,845,1409,1421,DL,152,N177DZ,210,216,181,-12,-6,SLC,ATL,1589,11,18,0,NA,0,NA,NA,NA,NA,NA
1997,4,30,3,828,830,1206,1155,AA,11,N5DAAA,398,385,364,11,-2,BOS,LAX,2611,5,29,0,NA,0,NA,NA,NA,NA,NA
1995,7,21,5,1018,1000,1126,1113,US,272,N274US,68,73,53,13,18,GSO,PIT,304,4,11,0,NA,0,NA,NA,NA,NA,NA
1989,9,28,4,1501,1450,1639,1630,AA,905,NA,158,160,NA,9,11,ORD,DEN,888,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,10,26,5,654,700,1507,1515,AS,802,N648AS,313,315,293,-8,-6,PDX,BOS,2537,9,11,0,,0,0,0,0,0,0
1993,6,28,1,1540,1541,2146,2131,UA,1746,NA,246,230,NA,15,-1,SAN,ORD,1723,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1994,3,31,4,1909,1900,2116,2130,TW,819,NA,247,270,NA,-14,9,STL,SFO,1736,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2000,5,23,2,958,910,1205,1110,NW,281,N523US,307,300,285,55,48,DTW,SEA,1927,8,14,0,NA,0,NA,NA,NA,NA,NA
2004,10,18,1,939,940,1151,1128,NW,679,N317NB,192,168,149,23,-1,MSP,SLC,991,10,33,0,,0,0,0,23,0,0
2007,5,17,4,1944,1830,2034,1930,AA,1011,N3BDAA,50,60,35,64,74,MIA,MCO,193,4,11,0,,0,64,0,0,0,0
2003,7,31,4,1738,1710,1819,1750,DH,7981,N309UE,41,40,25,29,28,IAD,CHO,77,3,12,0,,0,29,0,0,0,0
1993,3,17,3,630,630,747,755,WN,1968,NA,77,85,NA,-8,0,SFO,SAN,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2002,8,25,7,1255,1250,1552,1558,AA,768,N464AA,117,128,91,-6,5,ORD,PHL,678,7,19,0,NA,0,NA,NA,NA,NA,NA
1995,7,30,7,2018,1955,2318,2243,CO,765,N578PE,180,168,127,35,23,EWR,TPA,998,3,50,0,NA,0,NA,NA,NA,NA,NA
1990,7,7,6,1140,1140,1325,1330,WN,619,NA,105,110,NA,-5,0,HOU,STL,687,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,4,20,2,1345,1350,1520,1527,US,1188,N428US,95,97,76,-7,-5,CLT,TPA,508,2,17,0,NA,0,NA,NA,NA,NA,NA
1998,4,16,4,1838,1800,2015,1915,WN,1273,N319,97,75,65,60,38,PHX,LAX,370,7,25,0,NA,0,NA,NA,NA,NA,NA
2006,10,19,4,1459,1500,1623,1630,WN,1583,N660SW,84,90,66,-7,-1,LAS,OAK,407,5,13,0,,0,0,0,0,0,0
1991,10,16,3,955,955,1122,1123,UA,599,NA,87,88,NA,-1,0,ORD,MSP,334,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,6,9,3,813,815,1700,1625,DL,1272,N654DL,347,310,313,35,-2,SEA,JFK,2421,15,19,0,,0,0,0,35,0,0
2003,4,8,2,1642,1644,2022,2029,AA,909,N355AA,160,165,137,-7,-2,DFW,MIA,1121,4,19,0,NA,0,NA,NA,NA,NA,NA
1992,1,19,7,1330,1330,1425,1437,DL,1834,NA,55,67,NA,-12,0,LGA,BOS,185,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2005,10,14,5,1349,1326,1826,1814,DL,1847,N3733Z,157,168,137,12,23,COS,ATL,1185,7,13,0,,0,0,0,0,0,0
2006,12,4,1,1056,1101,1107,1108,FL,428,N953AT,71,67,46,-1,-5,ATL,PNS,272,3,22,0,,0,0,0,0,0,0
1999,8,29,7,2214,2145,131,59,UA,1286,N510UA,137,134,113,32,29,SFO,DEN,967,6,18,0,NA,0,NA,NA,NA,NA,NA
1997,4,15,2,704,706,837,840,AS,427,N768AS,93,94,79,-3,-2,OAK,PDX,543,2,12,0,NA,0,NA,NA,NA,NA,NA
1996,5,23,4,1100,1100,1145,1145,WN,958,N502,105,105,90,0,0,ELP,SAN,636,2,13,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1705,1707,1823,1828,UA,481,NA,78,81,NA,-5,-2,DEN,SLC,391,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,7,1,7,1127,1130,1420,1434,TW,74,N969ã,113,124,99,-14,-3,DEN,STL,770,5,9,0,NA,0,NA,NA,NA,NA,NA
2004,5,12,3,1517,1450,1830,1759,DH,7226,N697BR,133,129,106,31,27,ORD,BDL,783,5,22,0,,0,0,22,4,0,5
1998,4,1,3,915,915,1013,956,DL,1881,N919DL,118,101,92,17,0,CVG,MCI,539,8,18,0,NA,0,NA,NA,NA,NA,NA
1992,9,1,2,2123,2042,2221,2210,CO,260,NA,58,88,NA,11,41,EWR,BTV,266,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,11,6,3,1741,1715,1916,1855,NW,711,NA,155,160,NA,21,26,DCA,MSP,931,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,5,30,7,2015,1936,2117,2044,MQ,3519,N512MQ,62,68,43,33,39,DFW,LBB,282,5,14,0,,0,6,0,0,0,27
